,file,library,type,value
153,resources/sanitized_html/gentea.ru-politika-bezopasnosti.html.md,deeppavlov,loc,Российской
154,resources/sanitized_html/reharenda.ru-agreement.html.md,deeppavlov,loc,Старокалужское
155,resources/sanitized_html/reharenda.ru-agreement.html.md,deeppavlov,loc,Российской
156,resources/sanitized_html/reharenda.ru-agreement.html.md,deeppavlov,loc,Российской
157,resources/sanitized_html/rutotal.ru-politika-konfidencialnosti.html.md,deeppavlov,per,Приходько Анна
158,resources/sanitized_html/relematika.ru-confidence.html.md,deeppavlov,loc,Российской
159,resources/sanitized_html/relematika.ru-confidence.html.md,deeppavlov,loc,Российской
160,resources/sanitized_html/relematika.ru-confidence.html.md,deeppavlov,loc,Российской
161,resources/sanitized_html/relematika.ru-confidence.html.md,deeppavlov,loc,Российской
162,resources/sanitized_html/relematika.ru-confidence.html.md,deeppavlov,loc,Российской
163,resources/sanitized_html/relematika.ru-confidence.html.md,deeppavlov,loc,Российской
164,resources/sanitized_html/relematika.ru-confidence.html.md,deeppavlov,loc,Российской
165,resources/sanitized_html/relematika.ru-confidence.html.md,deeppavlov,loc,Российской
166,resources/sanitized_html/www.Zenitco.ru-confidential.html.md,deeppavlov,loc,"
"
167,resources/sanitized_html/siblesprom.ru-kontakty-politika-konfidentsialnosti.html.md,deeppavlov,loc,Российской
168,resources/sanitized_html/siblesprom.ru-kontakty-politika-konfidentsialnosti.html.md,deeppavlov,loc,Российской
169,resources/sanitized_html/www.volskweek.ru-index.php-mode-page-id-6.html.md,deeppavlov,loc,экрана
170,resources/sanitized_html/akvauyut.ru-politika-konfidentsialnosti.html.md,deeppavlov,loc,своему
171,resources/sanitized_html/vodatyt.ru-politika-konfidentsialnosti.html.md,deeppavlov,loc,
172,resources/sanitized_html/ratingservices.ru-privacy-policy.html.md,deeppavlov,loc,Российской
173,resources/sanitized_html/ratingservices.ru-privacy-policy.html.md,deeppavlov,loc,Российской
174,resources/sanitized_html/ratingservices.ru-privacy-policy.html.md,deeppavlov,loc,Российской
175,resources/sanitized_html/koresmetica.ru-agreement.html.md,deeppavlov,loc,Российской
176,resources/sanitized_html/koresmetica.ru-agreement.html.md,deeppavlov,loc,Российской
177,resources/sanitized_html/www.um-rzn.ru-politika-konfidencialnosti.html.md,deeppavlov,loc,определенному
178,resources/sanitized_html/www.color1.ru-o-personalnyx-dannyx.html.md,deeppavlov,per,Келарев
179,resources/sanitized_html/shinatorg71.ru-about_company-policy.html.md,deeppavlov,per,Кадисон Виталия
180,resources/sanitized_html/wikdol.tilda.ws-policy.html.md,deeppavlov,loc,Российской
181,resources/sanitized_html/wikdol.tilda.ws-policy.html.md,deeppavlov,loc,Российской
182,resources/sanitized_html/wikdol.tilda.ws-policy.html.md,deeppavlov,loc,Российской
183,resources/sanitized_html/wikdol.tilda.ws-policy.html.md,deeppavlov,loc,Российской
184,resources/sanitized_html/wikdol.tilda.ws-policy.html.md,deeppavlov,loc,контактный
185,resources/sanitized_html/akkord74.ru-politika-konfidentsialnosti-personalnykh-dannykh.html.md,deeppavlov,loc,на
186,resources/sanitized_html/www.slavmagic.ru--view-page-id-26.html.md,deeppavlov,loc,Российской
187,resources/sanitized_html/gk-raduga.ru-politika-konfidencialnosti.html.md,deeppavlov,per,Фадеева Ольга
188,resources/sanitized_html/gk-raduga.ru-politika-konfidencialnosti.html.md,deeppavlov,per,Фадеева Ольга
189,resources/sanitized_html/gk-raduga.ru-politika-konfidencialnosti.html.md,deeppavlov,loc,Ярославская
190,resources/sanitized_html/xpmkabel.tilda.ws-primacy.html.md,deeppavlov,per,Михайловым Иваном
191,resources/sanitized_html/www.avitex.ru-politika.html.md,deeppavlov,loc,Российской
192,resources/sanitized_html/www.avitex.ru-politika.html.md,deeppavlov,loc,Российской
193,resources/sanitized_html/moj-vnedorozhnik.ru-politika-konfidentsialnosti.html.md,deeppavlov,loc,Российской
194,resources/sanitized_html/moj-vnedorozhnik.ru-politika-konfidentsialnosti.html.md,deeppavlov,loc,Российской
195,resources/sanitized_html/moj-vnedorozhnik.ru-politika-konfidentsialnosti.html.md,deeppavlov,loc,Российской
196,resources/sanitized_html/moj-vnedorozhnik.ru-politika-konfidentsialnosti.html.md,deeppavlov,loc,ними.
197,resources/sanitized_html/da74.ru-confidential.html.md,deeppavlov,loc,Российской
198,resources/sanitized_html/da74.ru-confidential.html.md,deeppavlov,loc,Российской
199,resources/sanitized_html/seocrat.ru-soglashenie.html.md,deeppavlov,loc,Советской
200,resources/sanitized_html/remontlegco.ru-politika-obrabotki-personalnykh-dannykh.html.html.md,deeppavlov,loc,Российской
201,resources/sanitized_html/remontlegco.ru-politika-obrabotki-personalnykh-dannykh.html.html.md,deeppavlov,loc,в
202,resources/sanitized_html/remontlegco.ru-politika-obrabotki-personalnykh-dannykh.html.html.md,deeppavlov,loc,числе
203,resources/sanitized_html/www.gubernia74.ru-privacy_policy.php.html.md,deeppavlov,loc,Российской
204,resources/sanitized_html/VelesSib.ru-soglashenie.html.html.md,deeppavlov,loc,Российской
205,resources/sanitized_html/pro-ocenka.ru-documents-politika-v-otnoshenii-obrabotki-personalnykh-dannykh.html.md,deeppavlov,loc,Российской
206,resources/sanitized_html/pro-ocenka.ru-documents-politika-v-otnoshenii-obrabotki-personalnykh-dannykh.html.md,deeppavlov,loc,данных
207,resources/sanitized_html/euroinst.org-politika-konfidentsialnosti.html.md,deeppavlov,loc,
208,resources/sanitized_html/www.onethree.ru-agreement.html.md,deeppavlov,loc,
209,resources/sanitized_html/dismac.ru-pol-t-ka-konf-djenc-alnost.html.md,deeppavlov,per,Андреем
210,resources/sanitized_html/mirkaminov.ru-privacy-policy.html.md,deeppavlov,per,Вальков Сергей
211,resources/sanitized_html/mirkaminov.ru-privacy-policy.html.md,deeppavlov,loc,Саратовская
212,resources/sanitized_html/mirkaminov.ru-privacy-policy.html.md,deeppavlov,loc,2-й Кооперативный
213,resources/sanitized_html/xn--d1acufc5f.xn--p1ai-policy.html.md,deeppavlov,loc,
214,resources/sanitized_html/lombard-baks.ru-politika-konfidencialnosti.html.md,deeppavlov,loc,определенному
215,resources/sanitized_html/holod-master.com-company-consent.html.md,deeppavlov,loc,
216,resources/sanitized_html/holod-master.com-company-consent.html.md,deeppavlov,loc,
217,resources/sanitized_html/www.mamapapa.ru-politika-konfidentsialnosti.html.md,deeppavlov,loc,Российской
218,resources/sanitized_html/kinolog-rkf.narod.ru-about-legalrules--from-mainpage.html.md,deeppavlov,loc,Российской
219,resources/sanitized_html/kinolog-rkf.narod.ru-about-legalrules--from-mainpage.html.md,deeppavlov,loc,Российской
220,resources/sanitized_html/kinolog-rkf.narod.ru-about-legalrules--from-mainpage.html.md,deeppavlov,loc,Российской
221,resources/sanitized_html/kinolog-rkf.narod.ru-about-legalrules--from-mainpage.html.md,deeppavlov,loc,Российской
222,resources/sanitized_html/kinolog-rkf.narod.ru-about-legalrules--from-mainpage.html.md,deeppavlov,loc,Российской
223,resources/sanitized_html/kinolog-rkf.narod.ru-about-legalrules--from-mainpage.html.md,deeppavlov,loc,рамках
224,resources/sanitized_html/tkani-anna.ru-polzovatelskoe-soglashenie.html.html.md,deeppavlov,per,Петровичева Анна
225,resources/sanitized_html/www.technostroy.ru-polozhenie-o-konfidencialnosti-i-zashhite-personalnyh-dannyh.html.html.md,deeppavlov,loc,Российской
226,resources/sanitized_html/www.technostroy.ru-polozhenie-o-konfidencialnosti-i-zashhite-personalnyh-dannyh.html.html.md,deeppavlov,loc,Российской
227,resources/sanitized_html/www.technostroy.ru-polozhenie-o-konfidencialnosti-i-zashhite-personalnyh-dannyh.html.html.md,deeppavlov,loc,Российской
228,resources/sanitized_html/gazetarb.ru-about-agreement.html.md,deeppavlov,loc,размещать
229,resources/sanitized_html/efcpn.ru-rules.html.md,deeppavlov,loc,Российской
230,resources/sanitized_html/efcpn.ru-rules.html.md,deeppavlov,loc,Российской
231,resources/sanitized_html/efcpn.ru-rules.html.md,deeppavlov,loc,Российской
232,resources/sanitized_html/efcpn.ru-rules.html.md,deeppavlov,loc,Российской
233,resources/sanitized_html/efcpn.ru-rules.html.md,deeppavlov,loc,Российской
234,resources/sanitized_html/moscowrank.ru-pravovaya-informaciya.html.md,deeppavlov,loc,Российской
235,resources/sanitized_html/kamenka54.ru-company-consent.html.md,deeppavlov,loc,
236,resources/sanitized_html/kamenka54.ru-company-consent.html.md,deeppavlov,loc,
237,resources/sanitized_html/avm-ural.ru-informaciya-securityform.html.html.md,deeppavlov,per,Литвинов Александр
